,Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População
0,Russia,RUS,2010,-41030.0,19.850774526906577,3007851.0,142849468
1,Russia,RUS,2000,586710.0,19.46269696785112,1416153.0,146596869
2,Brazil,BRA,1990,-3780940.0,13.900798082250809,3124141.0,149003225
3,Brazil,BRA,2000,-3950790.0,13.25353751472758,4509564.0,174790339
4,Brazil,BRA,2010,-1539179.9999999995,12.45838499510638,7722526.0,195713637
5,Canada,CAN,2010,-41300.0,8.458242872593097,2827600.0,34004889
6,Canada,CAN,2000,-47980.0,8.364546929642811,1694217.0,30685730
7,Canada,CAN,1990,-47100.0,8.22090018550559,800100.0,27691138
8,United States,USA,2010,275000.0,7.518173800710702,11039634.0,309327143
9,United States,USA,2000,518400.0,7.299961862884389,10806067.0,282162411
10,United States,USA,1990,108600.0,7.139260754794137,7489100.0,249623000
11,China,CHN,2010,1936770.0,4.885409766346911,19482912.0,1337705000
12,China,CHN,2000,2360980.0,4.256817197003195,11038037.0,1262645000
13,China,CHN,1990,1986000.0,3.7092664809793217,5631366.0,1135185000
14,Australia,AUS,2000,-226800.0,3.1700948256234165,319155.0,19153000
15,Australia,AUS,1990,-206810.0000000001,3.1602576830071074,135503.0,17065100
16,Australia,AUS,2010,709680.0000000002,3.154800774178053,403033.0,22031750
17,Indonesia,IDN,1990,-1726500.0,2.7982267025196594,3805784.0,181413398
18,Indonesia,IDN,2000,-162080.00000000003,2.435757661275536,8872528.0,211513822
19,Peru,PER,2000,-124800.0,1.810893229659586,41274.0,26459944
20,Peru,PER,1990,-115070.0,1.804549715269664,52200.0,22071433
21,Peru,PER,2010,-171050.0,1.8033145449205343,84187.0,29027680
22,India,IND,2010,266400.0,1.6924170978692377,7864650.0,1234281163
23,Mexico,MEX,1990,-221030.0,1.666299211311501,675111.0,83943135
24,Mexico,MEX,2000,-143800.0,1.644553684348972,945077.0,98899845
25,Mexico,MEX,2010,-122480.0,1.6302521358345905,1189940.0,114092961
26,India,IND,2000,190500.0,1.625545972386204,5482500.0,1056575548
27,Colombia,COL,1990,-222260.0,1.533321539449242,367970.0,33102569
28,India,IND,1990,365300.0,1.5092413758969334,4908625.0,873277799
29,Colombia,COL,2000,-192770.0,1.5087724601002308,661011.0,39629965
30,Colombia,COL,2010,-134630.0,1.4808354938362214,921138.0,45222699
31,Bolivia,BOL,1990,-270330.0,1.3644667513237352,37280.0,6864839
32,Tanzania,TZA,1990,-372000.0,1.3546776198057302,75443.0,25203848
33,Bolivia,BOL,2000,-201540.0,1.325174099915395,214873.0,8418270
