Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População,Perde,Teste
Brazil,BRA,2010,-0.007864449425156815,6.365619272154439e-08,0.03945829283219544,195713637,1,-0.3397087512781558
Tanzania,TZA,2010,-0.008388480073255785,2.742985504343599e-08,0.003723267469934289,44346532,1,-0.25955211484938695
Myanmar,MMR,2010,-0.005725400495924701,1.5131651535832894e-08,0.01803466571801287,50600827,1,-0.058744992566393484
Argentina,ARG,2010,-0.005477040279022105,1.8039254537868167e-08,0.2028055587202584,40788453,1,0.010120643069058376
Mozambique,MOZ,2010,-0.008772471463545118,4.0332115412763e-08,0.0037780739378724757,23531567,1,-0.34362692214994645
Peru,PER,2010,-0.0058926514278784935,6.212396391721744e-08,0.002900231778771159,29027680,1,-0.45030839082359486
Nigeria,NGA,2010,-0.0010303261821150707,3.5737065643634712e-09,0.008764617835514655,158503203,1,0.2263685493352764
Colombia,COL,2010,-0.0029770447801003653,3.2745402786247264e-08,0.020368930213563768,45222699,1,-0.2229932792942829
Mexico,MEX,2010,-0.0010735105735401153,1.4288805562988153e-08,0.010429565413768164,114092961,1,-0.07047583916308377
Mali,MLI,2010,-0.005249395455698026,2.151546822755389e-08,0.003202795708413226,15049352,1,-0.21286793908131046
Somalia,SOM,2010,-0.006372527936581266,1.3643438979060662e-08,0.0007914389093354088,12043886,1,-0.1748556764756942
Ethiopia,ETH,2010,-0.0008329533506643922,4.9457119455455034e-09,0.0005527615358847371,87639962,1,0.03220750297422524
Nicaragua,NIC,2010,-0.009635893049142025,1.7512338049688792e-08,0.005679716788534729,5824058,1,-0.14217843859312143
Cameroon,CMR,2010,-0.0027530283803796386,2.5022259133070964e-08,0.020310466876250783,20341236,1,-0.16400420763587467
Zimbabwe,ZWE,2010,-0.0036282081329825303,3.4340189924715906e-08,0.00469375308716646,12697728,1,-0.29864157859946816
Malawi,MWI,2010,-0.0028886608986527767,4.458142772416872e-09,0.0018902846699660218,14539609,1,0.10963275963558675
Ecuador,ECU,2010,-0.002784603461142191,2.113580318234217e-08,0.029726108268846668,15011114,1,-0.1099892394005051
